mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.44106101989746094,0.04133710357104118,0.002601003646850586,0.000491810654030564,0.024008953893080602,0.0002258392604375141,255,458,"OrderedDict([('gamma', 0.024008953893080602), ('learning_rate', 0.0002258392604375141), ('max_depth', 255), ('n_estimators', 458)])",-4.058482461504553,-3.8407183939562053,-3.40188541795263,-3.545766550537988,-3.6360022188829833,-3.6965710085668717,0.23022099324034973,50
0.09620146751403809,0.0008091819714148014,0.0021008014678955077,0.00020070611276374036,0.04127403614641231,0.0009169560371359899,15,113,"OrderedDict([('gamma', 0.04127403614641231), ('learning_rate', 0.0009169560371359899), ('max_depth', 15), ('n_estimators', 113)])",-4.056485452909399,-3.8387619434148377,-3.4001458737331207,-3.5438854861921163,-3.6341862201220074,-3.694692995274296,0.23013544953486118,49
0.1485011100769043,0.005734131720267683,0.001898813247680664,0.0002023220905121271,0.015436971026389844,0.0005510376158859936,348,219,"OrderedDict([('gamma', 0.015436971026389844), ('learning_rate', 0.0005510376158859936), ('max_depth', 348), ('n_estimators', 219)])",-3.904357897170592,-3.6889688732707935,-3.263844254420743,-3.3993224571973943,-3.4922478408515714,-3.549748264582219,0.22485804174681945,48
0.3148002624511719,0.02289941693603694,0.0024002552032470702,0.00020032045359047782,0.08629484514606389,0.000483681470392889,11,377,"OrderedDict([('gamma', 0.08629484514606389), ('learning_rate', 0.000483681470392889), ('max_depth', 11), ('n_estimators', 377)])",-3.39500264127365,-3.189089677086458,-2.808055907150371,-2.915593667850672,-3.0149017453124625,-3.0645287277347224,0.2074373325988542,47
0.1914003849029541,0.015936001935969217,0.00250091552734375,0.00044696929705529347,0.04668748521820759,0.0059592139972867815,103,180,"OrderedDict([('gamma', 0.04668748521820759), ('learning_rate', 0.0059592139972867815), ('max_depth', 103), ('n_estimators', 180)])",-0.017276775429530433,0.09521233068297286,0.1810183591139174,0.21664235973483092,0.14717742861333682,0.12455474054310552,0.08143366844927158,46
0.26690006256103516,0.013639897770876364,0.0025002479553222655,7.448434520632414e-07,0.010509465373462253,0.004033667992759552,232,320,"OrderedDict([('gamma', 0.010509465373462253), ('learning_rate', 0.004033667992759552), ('max_depth', 232), ('n_estimators', 320)])",0.2430249671909589,0.35320511515951913,0.41755522711085113,0.4520001784443516,0.396855646451273,0.3725282268713907,0.07222121862012836,45
0.44720020294189455,0.04922490571506709,0.003200054168701172,0.0006768343933731455,0.03542537448499591,0.0036276307870517425,261,434,"OrderedDict([('gamma', 0.03542537448499591), ('learning_rate', 0.0036276307870517425), ('max_depth', 261), ('n_estimators', 434)])",0.46384011506404643,0.5671815198163331,0.6152224914954363,0.643861100738496,0.6026971669691945,0.5785604788167013,0.06241970310642804,44
0.33853893280029296,0.03090188378452019,0.0029997825622558594,0.0003165825640861175,0.08894128734973157,0.004106362674390838,300,391,"OrderedDict([('gamma', 0.08894128734973157), ('learning_rate', 0.004106362674390838), ('max_depth', 300), ('n_estimators', 391)])",0.48349560498024635,0.5852182670225161,0.6310948534394099,0.6601455989644001,0.6194393086874972,0.5958787266188139,0.06110502258370697,43
0.10554733276367187,0.010201235138780655,0.0018024921417236328,0.0005067910562300097,0.01,0.01670154133054827,400,100,"OrderedDict([('gamma', 0.01), ('learning_rate', 0.01670154133054827), ('max_depth', 400), ('n_estimators', 100)])",0.5229200908354235,0.6225976303727899,0.6683686469709449,0.6936558657635191,0.6577194875450327,0.6330523442975421,0.05961025130039549,42
0.227500057220459,0.005412418655746209,0.0020996570587158204,0.00020031965905409574,0.01,0.008482999312586316,4,500,"OrderedDict([('gamma', 0.01), ('learning_rate', 0.008482999312586316), ('max_depth', 4), ('n_estimators', 500)])",0.8499906850692222,0.8798895248980753,0.894318355741788,0.8968638292111597,0.9050501549216775,0.8852225099683846,0.019396455572732733,41
0.6438748359680175,0.03672933535696148,0.0035991668701171875,0.0003750566297699967,0.01,0.00754691376394311,400,500,"OrderedDict([('gamma', 0.01), ('learning_rate', 0.00754691376394311), ('max_depth', 400), ('n_estimators', 500)])",0.8521747573263769,0.9041560195543596,0.9122207655026515,0.9312435090352547,0.9220837817592202,0.9043757666355725,0.027647737882792185,40
0.10250177383422851,0.006491053711000569,0.0016993999481201172,0.0002447366145431668,0.1,0.028695155153430248,4,231,"OrderedDict([('gamma', 0.1), ('learning_rate', 0.028695155153430248), ('max_depth', 4), ('n_estimators', 231)])",0.8791387584468773,0.9011366917104378,0.9113073616272206,0.9144658876273143,0.9242428399543954,0.906058307873249,0.015347974567454877,39
0.5075994968414307,0.016214843275616224,0.00319976806640625,0.0002457106018322964,0.01,0.009956104713269657,400,396,"OrderedDict([('gamma', 0.01), ('learning_rate', 0.009956104713269657), ('max_depth', 400), ('n_estimators', 396)])",0.8568169685509059,0.9077345735042726,0.9115710981224588,0.9336317841238565,0.925785114200496,0.907107907700398,0.026839692257868517,38
0.1351996421813965,0.008145383510143002,0.0020996570587158204,0.00020103923956804338,0.1,0.04036789452627368,400,100,"OrderedDict([('gamma', 0.1), ('learning_rate', 0.04036789452627368), ('max_depth', 400), ('n_estimators', 100)])",0.8689314275820744,0.9093545176146389,0.9169132389565848,0.9321587099759073,0.9250288838515536,0.9104773555961518,0.022138534714931005,37
