mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.0379997730255127,0.0036193802896199766,0.002000904083251953,0.0003160580712208112,0.1,1,3,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",0.8760063285865369,0.8477253896382848,0.9079953218760396,0.9180495060950278,0.887063996093729,0.8873681084579236,0.024769165411662353,28,-5.572756015390522,-6.667003643722541,-5.011037527552726,-4.605716514374406,-5.803017503529551,-5.5319062409139494,0.7060804147914872,28
0.19000558853149413,0.0030014032775457114,0.002399253845214844,0.00020017902186959642,0.1,0.01,3,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.8395278376894646,0.8619725849899387,0.8735520878318499,0.872348803448936,0.8863874921535893,0.8667577612227557,0.015665986153899775,29,-6.339720651495185,-6.347454863473923,-5.874603118475595,-5.748226342776401,-5.820372034549649,-6.0260754021541505,0.26234173459673416,29
0.18154783248901368,0.009060153583105288,0.0026474952697753905,0.0005070655624285137,0.01,0.01,3,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.8395278376894646,0.8619725849899387,0.8735501039789217,0.872348803448936,0.8863874921535893,0.8667573644521701,0.015665814093943273,30,-6.339720651495185,-6.347454863473923,-5.8746492018892615,-5.748226342776401,-5.820372034549649,-6.026084618836885,0.2623364136124628,30
0.05929970741271973,0.0015362359826127745,0.0018997669219970703,0.0001999386449187747,0.01,1,6,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",0.8474768365431852,0.8598429145416167,0.80122188926685,0.8752025413030771,0.8660430478766477,0.8499574459062753,0.02598111555053042,31,-6.180707222545123,-6.3962359049286075,-7.365580482069108,-5.6836102192000295,-6.320046897819226,-6.3892361453124185,0.5476270029413586,31
0.1156998634338379,0.0033250284369971237,0.0020997047424316405,0.00020053547551388958,0.01,1,6,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",0.8474768365431852,0.8598429001275895,0.8012218928177332,0.8752025411822847,0.8660430561976917,0.8499574453736969,0.02598111412839015,32,-6.180707222545123,-6.396236233829268,-7.365580416281392,-5.683610221950635,-6.320046701527101,-6.389236159226703,0.5476269845752963,32
0.33170390129089355,0.023880607297740105,0.0023001670837402345,0.00024539884059876754,0.01,1,6,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 500}",0.8474768365431852,0.8598428708623695,0.8012219034703754,0.8752025408197478,0.8660430748352044,0.8499574453061765,0.025981110142277053,33,-6.180707222545123,-6.396236901605823,-7.365580218918375,-5.683610230206083,-6.320046261871076,-6.389236167029296,0.5476269248904622,33
0.06470961570739746,0.004538692139328677,0.00209197998046875,0.00020530066441393373,0.1,1,6,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",0.8333849301228905,0.8557402722473962,0.8039895944175344,0.8712445809121235,0.8657642795651916,0.8460247314530273,0.024685216720122072,34,-6.459924011204874,-6.4891751761347285,-7.31412307046625,-5.773034780616682,-6.326619580768407,-6.472575323838188,0.4938214801338785,34
0.12090020179748535,0.013976955898597427,0.0017995357513427735,0.0002442696442782094,0.1,1,6,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",0.8333849183660469,0.8557402646321017,0.8039895710686491,0.8712445809121235,0.8657642795651916,0.8460247229088227,0.024685225276587848,35,-6.459924239120378,-6.4891753474125355,-7.314123506097754,-5.773034780616682,-6.326619580768407,-6.472575490803152,0.49382162859419965,35
0.313337516784668,0.028321650130396343,0.0020392417907714845,0.00025988007463914847,0.1,1,6,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 500}",0.8333848937941549,0.8557402529330662,0.8039895266806906,0.8712445809121235,0.8657642795651916,0.8460247067770454,0.024685241989224692,36,-6.459924715465474,-6.48917561053894,-7.314124334265404,-5.773034780616682,-6.326619580768407,-6.472575804330982,0.4938219101875312,36
0.46943960189819334,0.050231099961376695,0.0021997928619384766,0.00024487492098226616,0.01,1,9,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",0.8634867943306315,0.8273682131423884,0.7688289215236074,0.8518802149861218,0.8539759933649947,0.8331080274695488,0.03427968911904169,37,-5.847329969582922,-7.098675550634484,-7.943089381552593,-6.191957290535864,-6.598569608161042,-6.735924360093381,0.7339212909790325,37
